id,faction_def,faction,name,tile,lat,lon,arc,biome,why
0,Empire,The Galactic Empire,Sunspire,19356,7.969,-24.032,25.2,AB_FeraliskInfestedJungle,"the planetary seat and spaceport, on the substellar plateau's rim"
1,Empire,The Galactic Empire,Oxalate Watch,11945,-8.846,-48.538,49.1,ZBiome_Badlands,"the Scald Gate - the one breach in the Spine, so the crater is held"
2,Empire,The Galactic Empire,Ashgarrison,6617,-17.007,54.055,55.9,Desert,"the Fall Line pass, the road off the plateau onto the Gray flank"
3,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Unfinished Work,9158,-0.677,63.202,63.2,Desert,the ore seams - the collapsed silicax oxalate holdings the Jawas robbed
4,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Oxide Deep,16872,-4.737,62.749,62.8,Desert,the ore seams - the collapsed silicax oxalate holdings the Jawas robbed
5,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Godmouth,11335,19.867,0.792,19.9,Scarlands,"subterranean dayside rock, beside the Rust Cathedral they worship"
6,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Founder's Kiln,14574,16.172,-1.574,16.2,Scarlands,"subterranean dayside rock, beside the Rust Cathedral they worship"
7,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Hollow Nave,6482,10.078,-7.036,12.3,AB_MechanoidIntrusion,"subterranean dayside rock, beside the Rust Cathedral they worship"
8,Jawa_FreeDroidEnclaves,Free Droid Enclaves,The Trade Socket,11960,-16.014,-36.501,39.4,Volcano,low mountains with poisonous volcanic springs - water nobody else can drink
9,Jawa_FreeDroidEnclaves,Free Droid Enclaves,Vent Nine,15206,-15.857,-41.083,43.5,Volcano,low mountains with poisonous volcanic springs - water nobody else can drink
10,Jawa_FreeDroidEnclaves,Free Droid Enclaves,No Master,14474,-11.142,-3.13,11.6,Scarlands,the Rust Cathedral is sacred to them; they keep a seat beside it
11,Jawa_AscendantHelix,Ascendant Helix,Helix Landing,6857,-22.67,105.79,104.5,AB_MycoticJungle,"cold, isolated research seats on the nightside edge, next to what is strange"
12,Jawa_AscendantHelix,Ascendant Helix,The Coil,5691,-35.723,108.202,104.7,AB_MycoticJungle,"cold, isolated research seats on the nightside edge, next to what is strange"
13,Jawa_AscendantHelix,Ascendant Helix,Quiet Lab,20600,-26.241,107.84,105.9,AB_MycoticJungle,"cold, isolated research seats on the nightside edge, next to what is strange"
14,AM_EnemyPirate,Blackstar Company,Blackstar Field,2236,-18.329,77.562,78.2,Wasteland,"road junctions, ruins and rough outposts - wherever the traffic is"
15,AM_EnemyPirate,Blackstar Company,The Contract Camp,15077,3.795,-75.005,75.0,Desert,"road junctions, ruins and rough outposts - wherever the traffic is"
16,AM_EnemyPirate,Blackstar Company,Toll Rock,2641,40.031,-70.853,75.5,Wasteland,"road junctions, ruins and rough outposts - wherever the traffic is"
17,AM_EnemyPirate,Blackstar Company,Hardpan Yard,2234,-16.191,81.842,82.2,Wasteland,"road junctions, ruins and rough outposts - wherever the traffic is"
18,Jawa_WildsteamClan,Wildsteam Clan,Steamreach,1987,-15.877,-73.782,74.4,AB_FeraliskInfestedJungle,"the Scald's rivers, where the only true jungle on the planet grows"
19,Jawa_WildsteamClan,Wildsteam Clan,Rego,19201,-12.065,-72.966,73.4,AB_FeraliskInfestedJungle,"the Scald's rivers, where the only true jungle on the planet grows"
20,Jawa_WildsteamClan,Wildsteam Clan,Marrowmarsh,6990,-2.338,-87.526,87.5,AB_MiasmicMangrove,"the meridian's poison marshes - the other kind of wet, and nobody else wants it"
21,Jawa_WildsteamClan,Wildsteam Clan,Sporefall,15524,63.694,-66.96,80.0,AB_MycoticJungle,"the meridian's poison marshes - the other kind of wet, and nobody else wants it"
22,Jawa_DeepwaterCompact,Deepwater Compact,Butora,17338,-4.96,-50.158,50.3,AB_FeraliskInfestedJungle,"the Scald shore - fresh water in the hottest place, held against the Empire"
23,Jawa_DeepwaterCompact,Deepwater Compact,Anchor Deep,9228,-2.408,-52.6,52.6,AB_FeraliskInfestedJungle,"the Scald shore - fresh water in the hottest place, held against the Empire"
24,Jawa_DeepwaterCompact,Deepwater Compact,Deepwater Hold,19153,-3.12,-91.243,91.2,Wasteland,"the Twilight Sea, the largest standing water on Ash'karr"
