packageId,verdict,note
zetrith.prepatcher,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
brrainz.harmony,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
aleksey.betterstacktraces,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
ludeon.rimworld,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
ludeon.rimworld.royalty,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
ludeon.rimworld.ideology,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
ludeon.rimworld.biotech,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
ludeon.rimworld.anomaly,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
ludeon.rimworld.odyssey,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
owlchemist.cherrypicker,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
aoba.framework,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
vanillaexpanded.backgrounds,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
thesepeople.ritualattachableoutcomes,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
adaptive.storage.framework,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
redmattis.betterprerequisites,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
smashphil.vehicleframework,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
imranfish.xmlextensions,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
unlimitedhugs.hugslib,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
oskarpotocki.vanillafactionsexpanded.core,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
ebsg.framework,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
04.23.2020,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
ap.huntingmeme,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
dizzy.candlesandmeditation,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
hmc.wall.furniture,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
m3.continued.jangodsoul.starwars.bti,keep,See design/Jawa/sw_ownership_survey.md — already assessed as genuine SW content.
jm.disstynan,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
zal.calltradeships,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
lc.tammybee.selectablesculpturegraphic,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mingtuwuxiang.spacebasedecorative,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
nals.facialanimation,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.rfrumorhasit,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
rh2.cpers.arrest.here,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
cp.uncle.boris.used.furniture,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
sbz.neatstoragefridge,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
sbz.gravshipstorage,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
sr.modrimworld.factionalwarcontinued,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.syrmoreslaves,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
zav.glowstoneforked,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
armoredampharos.fancyrats,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
adaptive.ideology.storage,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
adaptive.primitivestorage,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
adaptive.simplestorage,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.advancedbiomes,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
ali.growodysseyplants,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
7f.alienworlds,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
andrewraphaellukasik.allowdeadanimals,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
