# fingerprint=e86680d6d5c586ba modCount=589 capturedUtc=2026-09-04T02:23:44Z
defName,source_mod,fate,tab,tier,cost,prereqs,hidden_prereqs,source_gate,form,theology,merge_target,note,access,holder,stage_gate,live
ABF_ResearchProject_Synstruct_CoreAssistants,ABF: Synstructs Core,untouched,The Unbolting,T1,1600,,,,,ohm,,"prereq-join: dropped ABF_ResearchProject_Synstruct_Optimization[tier-inverted (T3>T1)] | no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 1600 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",faction-held,Enclaves,,yes
ABF_ResearchProject_Synstruct_Infrastructure,ABF: Synstructs Core,untouched,The Unbolting,T1,1600,,,,,ohm,,"prereq-join: dropped Fabrication[tier-inverted (T3>T1)] | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 1600 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",faction-held,Enclaves,,yes
ABF_ResearchProject_Synstruct_InterchangeableParts,ABF: Synstructs Core,untouched,Jawa Scavenging,T2,1700,ABF_ResearchProject_Synstruct_Infrastructure,,,,rekko,,"recost 1200->1700 (band conformance, T2) | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 1200 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
ABF_ResearchProject_Synstruct_Optimization,ABF: Synstructs Core,untouched,The Unbolting,T3,4000,ABF_ResearchProject_Synstruct_Infrastructure;AdvancedFabrication,,,,ohm,,"no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 4000 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",faction-held,Enclaves,,yes
ABF_ResearchProject_Synstruct_Stimulators,ABF: Synstructs Core,untouched,Jawa Scavenging,T2,1700,ABF_ResearchProject_Synstruct_InterchangeableParts;DrugProduction,,,,rekko,,"recost 1200->1700 (band conformance, T2) | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 1200 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
ABF_ResearchProject_Synstruct_Ultraparts,ABF: Synstructs Core,untouched,The Unbolting,T1,1600,,,,,ohm,,"prereq-join: dropped ABF_ResearchProject_Synstruct_InterchangeableParts[tier-inverted (T2>T1)], ABF_ResearchProject_Synstruct_Optimization[tier-inverted (T3>T1)] | no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 1600 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",faction-held,Enclaves,,yes
AM_Cryptoharmonization,Alpha Mechs,untouched,The Unbolting,T1,700,,,,,ohm,,"G6 fold: The Waking Mind merged into The Unbolting (minds you make); access stays common - mixed classes are the feature | prereq-join: dropped AM_QuantumPulseMessaging[tier-inverted (T2>T1)] | recost 500->700 (band conformance, T1) | no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 500 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
AM_HeavyMechtech,Alpha Mechs,cut,,,1000,HighMechtech;AM_StandardMechtech,,,,,,"owner frozen deck 2026-09-04: ALL mechanoid research out of research potential, mechanitors too. | no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence",,,,yes
AM_MechanoidBeamcasting,Alpha Mechs,untouched,The Unbolting,T2,1700,AM_Cryptoharmonization,,,,ohm,,"G6 fold: The Waking Mind merged into The Unbolting (minds you make); access stays common - mixed classes are the feature | prereq-join: no surviving prereq; anchored to AM_Cryptoharmonization (same tree, lower tier) | prereq-join: dropped RimAI_AI_Level2[tier-inverted (T3>T2)] | recost 500->1700 (band conformance, T2) | RULED 2026-09-04 (owner accepted): dead UltraMechtech prereq re-pointed to RimAI Lv2 | no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 500 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
AM_QuantumPulseMessaging,Alpha Mechs,untouched,The Unbolting,T2,1700,AM_Cryptoharmonization,,,,ohm,,"G6 fold: The Waking Mind merged into The Unbolting (minds you make); access stays common - mixed classes are the feature | prereq-join: no surviving prereq; anchored to AM_Cryptoharmonization (same tree, lower tier, same category) | prereq-join: dropped AM_VoidLinkConnectivity[tier-inverted (T3>T2)] | recost 500->1700 (band conformance, T2) | no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 500 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
AM_RecyclingAssembly,Ancient urban ruins,untouched,The Workshop,T1,700,Electricity,,,,rekko,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
