id,faction_def,faction,name,tile,lat,lon,arc,biome,why
135,Empire,Galactic Empire,Sunspire,12828,-5.3026,-22.4631,23.0,ZBiome_Badlands,"the planetary seat and spaceport, on the substellar plateau's rim"
136,Empire,Galactic Empire,Oxalate Watch,3289,-8.2651,-54.2477,54.7,AB_FeraliskInfestedJungle,"the Scald Gate - the one breach in the Spine, so the crater is held"
137,Empire,Galactic Empire,Ashgarrison,6617,-17.0073,54.0548,55.9,ExtremeDesert,"the Fall Line pass, the road off the plateau onto the Gray flank"
138,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Unfinished Work,14719,-21.8674,61.3978,63.6,Desert,the ore seams - the collapsed silicax oxalate holdings the Jawas robbed
139,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Oxide Deep,20427,-30.2624,58.7613,63.4,Wasteland,the ore seams - the collapsed silicax oxalate holdings the Jawas robbed
140,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Godmouth,11335,19.8674,0.7916,19.9,Scarlands,"subterranean dayside rock, beside the Rust Cathedral they worship"
141,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Founder's Kiln,14574,16.1717,-1.5741,16.2,Scarlands,"subterranean dayside rock, beside the Rust Cathedral they worship"
142,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Hollow Nave,19422,11.3654,-7.8252,13.8,Scarlands,"subterranean dayside rock, beside the Rust Cathedral they worship"
145,Jawa_FreeDroidEnclaves,Free Droid Enclaves,No Master,19350,5.0855,-8.5748,10.0,AB_MechanoidIntrusion,the Rust Cathedral is sacred to them; they keep a seat beside it
146,Jawa_AscendantHelix,Ascendant Helix,Helix Landing,11944,-8.9578,-47.0746,47.7,AB_OcularForest,"cold, isolated research seats on the nightside edge, next to what is strange"
147,Jawa_AscendantHelix,Ascendant Helix,The Coil,15926,-43.6103,-88.1875,88.7,AB_MycoticJungle,"cold, isolated research seats on the nightside edge, next to what is strange"
148,Jawa_AscendantHelix,Ascendant Helix,Quiet Lab,5499,-40.6469,-98.7954,96.7,AB_MycoticJungle,"cold, isolated research seats on the nightside edge, next to what is strange"
149,Pirate,Blackstar Company,Blackstar Field,18266,28.8414,-59.2288,63.4,Wasteland,"road junctions, ruins and rough outposts - wherever the traffic is"
150,Pirate,Blackstar Company,The Contract Camp,8898,12.2542,78.1478,78.4,ZBiome_Badlands,"road junctions, ruins and rough outposts - wherever the traffic is"
151,Pirate,Blackstar Company,Toll Rock,2236,-18.3288,77.5617,78.2,AridShrubland,"road junctions, ruins and rough outposts - wherever the traffic is"
152,Pirate,Blackstar Company,Hardpan Yard,7497,39.6007,-76.0663,79.3,Wasteland,"road junctions, ruins and rough outposts - wherever the traffic is"
153,Jawa_WildsteamClan,Wildsteam Clan,Steamreach,8311,32.7113,-59.5704,64.8,AB_MiasmicMangrove,"the Scald's rivers, where the only true jungle on the planet grows"
154,Jawa_WildsteamClan,Wildsteam Clan,Rego,4364,-4.4794,-55.5681,55.7,AB_FeraliskInfestedJungle,"the Scald's rivers, where the only true jungle on the planet grows"
155,Jawa_WildsteamClan,Wildsteam Clan,Marrowmarsh,16050,-61.4693,69.4471,80.3,PoisonForest,"the meridian's poison marshes - the other kind of wet, and nobody else wants it"
156,Jawa_WildsteamClan,Wildsteam Clan,Sporefall,11919,19.7513,-40.8898,44.6,COMIGO_GreaterSwamp_Tropical,"the meridian's poison marshes - the other kind of wet, and nobody else wants it"
157,Jawa_DeepwaterCompact,Deepwater Compact,Butora,17343,1.2319,-50.5539,50.6,AB_OcularForest,"the Scald shore - fresh water in the hottest place, held against the Empire"
158,Jawa_DeepwaterCompact,Deepwater Compact,Anchor Deep,11960,-16.0141,-36.5007,39.4,Volcano,"the Scald shore - fresh water in the hottest place, held against the Empire"
