defType,defName,modName,currentLabelOrText,tier,oneLineWhy
MentalBreakDef,FireTerror,Biotech,mentalState=PanicFleeFire,COMMON,Biotech base mechanic — any pawn panics and flees from a nearby fire; fires happen routinely in colony life.
MentalBreakDef,BedroomTantrum,Core,mentalState=BedroomTantrum,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Berserk,Core,mentalState=Berserk,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Binging_DrugExtreme,Core,mentalState=Binging_DrugExtreme,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Binging_DrugMajor,Core,mentalState=Binging_DrugMajor,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Binging_Food,Core,mentalState=Binging_Food,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Catatonic,Core,mentalState=,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,CorpseObsession,Core,mentalState=CorpseObsession,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,GiveUpExit,Core,mentalState=GiveUpExit,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,InsultingSpree,Core,mentalState=InsultingSpree,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Jailbreaker,Core,mentalState=Jailbreaker,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,MurderousRage,Core,mentalState=MurderousRage,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,RunWild,Core,mentalState=,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,SadisticRage,Core,mentalState=SadisticRage,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Slaughterer,Core,mentalState=Slaughterer,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Tantrum,Core,mentalState=Tantrum,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,TargetedInsultingSpree,Core,mentalState=TargetedInsultingSpree,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,TargetedTantrum,Core,mentalState=TargetedTantrum,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Wander_OwnRoom,Core,mentalState=Wander_OwnRoom,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
MentalBreakDef,Wander_Psychotic,Core,mentalState=Wander_Psychotic,COMMON,"Core vanilla mental break — reachable by any pawn via the base mood-threshold system, no faction/precept/xenotype gate."
