file,tier,confidence,reason,straddle
AncientArsenal_Ashkarr.xml,RUT,MEDIUM,"Owner's deliberate DECIDE-ruling difficulty buff to Ancient sleepers' weapon pools for this campaign, but the content itself (weaponTags/weaponMoney fixes) is mechanically generic with no Ashkarr lore/names in it",no
AncientsAreRakata.xml,RUT,HIGH,"Makes ancient sleepers spawn as this campaign's Rakata precursor lore (Forsaken labels), built directly on Ash'karr/Rakata worldbuilding docs",no
AnimalBiomeDuplicates_Fix.xml,RUT,MEDIUM,"Block 1 (3 ops) is a generic third-party mod conflict fix (Armadillo/Titan, RM-tier); Blocks 2-3 (31 ops) exist solely because our own BiomeCast_Ashkarr.xml roster collides with third-party wildBiomes entries",yes — blocks 2/3 (majority) fix collisions created by our campaign-specific Ashkarr biome cast; block 1 is a generic cross-mod dedup unrelated to any campaign
AnimalBiomeDuplicates_Generated.xml,RUT,HIGH,Every entry generated specifically to patch duplicate-key crashes caused by BiomeCast_Ashkarr.xml's campaign-authored wildAnimals rosters; fix mod takes tier of what it fixes,no
AnimalDessicatedTexPaths_Fix.xml,RM,MEDIUM,"Generic engine texPath bug fix (case-sensitive path typos) across third-party animal mods (Biomes! Caverns, Star Wars Animal Collection, Insectoids 2); no Ashkarr lore, applies to any load using these mods",no
AnimalTolerances_Ashkarr.xml,RUT,HIGH,GENERATED companion explicitly refitting every cast animal's temperature band to the biome BiomeCast_Ashkarr.xml placed it in on this planet; must deploy with that file,no
ApparelTags_DeadTagRepair.xml,RUT,MEDIUM,Core content is campaign-specific: repairs Ancient-urban-ruins Rakata bosses' apparel per this campaign's Cherry Picker cut list and load order; also fixes generic RSW tribal xenotypes' dead Medieval tags,"yes — Rakata boss wardrobe repair and Cherry Picker cut-list reasoning is Ashkarr-campaign-specific; the ""six RSW tribal kinds keep dead Medieval tag"" note is generic to any RSW campaign"
AshStorms_Pyrelands.xml,RUT,HIGH,"Ash storms explicitly authored for the Pyrelands, a named Ash'karr planet region, with campaign-specific weather description (""no volcano on this planet"")",no
BTDGravshipQuest_GrammarFix.xml,RM,HIGH,Fixes an upstream grammar-string bug in a third-party quest mod ([BTD] Gravship Blueprints) that breaks the same way for any RimWorld installation using it; no campaign-specific text,no
BehemothArtUpres_StarWarsAnimalCollection.xml,RSW,HIGH,"Art upres of a stock Star Wars Animal Collection creature (Behemoth), generic to any RimStarWars campaign using that mod; no Ashkarr-specific content in this file",no
BiomeAnimalDanglingRefs_Fix.xml,RM,HIGH,Generic cross-mod compatibility bug fix (Primordial Geysers referencing PawnKindDefs that don't exist in the active Vanilla Animals Expanded/Alpha Animals versions); applies to any mod list with this combination,no
BiomeCast_Ashkarr.xml,RUT,HIGH,GENERATED wildAnimals roster authored per-biome specifically for Ash'karr's planet per owner's brief; filename and header confirm,no
BiomeFlora_Ashkarr.xml,RUT,HIGH,"GENERATED wildPlants roster explicitly ""Ash'karr's flora"", assigned per biome for this campaign's planet",no
BlackstarCompany.xml,RUT,HIGH,"Reskins vanilla Pirate faction into ""Blackstar Company,"" a named story faction of this campaign with its own ideology (""the Contract""), fielded pawn kinds, and campaign-specific naming lore",no
BodySizeIsReal.xml,RSW,HIGH,"Body-size gene ladder applied across the whole generic RimStarWars species roster (Wookiee, Herglic, Ewok, etc.); not specific to Ash'karr's story, applicable to any RSW campaign using these xenotypes",no
BugTurretRetexture_GeonosianHive.xml,RUT,MEDIUM,"Retextures VFEI2 bug turrets to match the ""Geonosian Foundry Hive"" faction's art register defined in this campaign's own design docs (design/Jawa/art/FACTION_ART_SPEC.md, faction_equipment_clusters.md)",no
BuzzerApostrophe_Fix.xml,RM,HIGH,Fixes a generic grammar-rule authoring bug in a third-party xenotype mod's namer (Det's Xenotypes - Buzzers) that produces malformed names for any player; no campaign content,no
CreatureNames_Ashkarr.xml,RUT,HIGH,GENERATED renaming of Latin binomial creature names into an invented language register coined specifically for Ash'karr's Alien_Bestiary,no
CreatureResize_Ashkarr.xml,RUT,HIGH,"Resizes specific cast creatures per this campaign's owner-reviewed size decisions, tied directly to the Ash'karr biome cast (CREATURE_RESIZE_LIST.md, BiomeCast_Ashkarr.xml)",no
SpeciesStartingGear_Tuning.xml,RSW,HIGH,Forces starting apparel for the generic `RSW_Jawa` / `Jawa_Spawn_Hutt` pawnkinds (hood+robes / nothing) so any Star Wars campaign's dev-spawn Jawa/Hutt look right; no Ash'karr-specific content,no
ThirdPartyStunBodySize_Squared.xml,RSW,HIGH,"Purely mechanical: applies the squared inverse-bodysize stun curve (via RSW_Jawa_InverseBodySize StatDef) to two KotOR Core stun DamageDefs; no campaign lore, generic combat-math fix",no
VQEPatients_AreRakata.xml,RUT,HIGH,Repoints VQE-Ancients quest patients to RUT_Jawa_RakataTakenChild/RakataFleshShaped backstories and Rakata xenotype per this campaign's own ANCIENTS_AS_RAKATA_SPEC.md lore ruling,no
VanillaFaction_Xenotypes.xml,RSW,HIGH,"Generated by apply_race_factions.py; seeds vanilla FactionDefs (Empire, OutlanderCivil, Pirate, TribeCivil) with generic RSW race chances — applies to any RimStarWars-style campaign",no
VehicleBeastLabels.xml,RSW,HIGH,"Relabels Alpha Vehicles draught-animal component names to Tatooine beasts (eopie/dewback/bantha/ronto) — generic Star Wars desert reskin, not Ash'karr-specific lore",no
VehicleBeastSound_Fix.xml,RSW,HIGH,Companion fix swapping the DogSled's impact SoundDef clip folder to Muffalo_Pain to match the eopie reskin above; same generic vehicle-cosmetics scope,no
