tile,name,loadout,ladder_stage,faction_face,flavor
10,Ossuvane,none,vane_true_running,Deepwater Compact,Warden post at a cold-running array; the draw ledger hangs on the truce-stone.
83,Kelvarrin,none,natural_weep,none,Bare seep lines on a north shoulder; the pool is a dozen paces of black water.
142,Threnn Comb,none,vane_fog_wild,none,Half-wild fins flood the canyon with fog at wind-hour; travelers navigate by its chord.
144,Ummaris,none,shields_overhangs,Homestead Defense League,Stone lids over the catch; homesteads cluster a ridge away and walk in for market.
632,Isk Vaal,none,natural_weep,Jawa,A lone slab weeping onto flat sand; the crawler's comb-sails are sighted from it first.
762,Quellith,none,vane_true_running,none,The array runs cold and true; the cistern shaft rings when the wind is right.
763,Dessarin Weep,none,natural_weep,none,"Mats ridged square to the wind, every ridge dripping to one basin."
866,Vulla Catch,none,shields_overhangs,Jawa,Stretched awnings over the pool; a crawler market ring worn into the sand beside it.
1172,Nhar Ellu,none,natural_weep,none,A hairline crack in bedrock sweats enough for one herd at a time.
1301,Sillik Face,none,natural_weep,none,A vertical weep-face alive with weep-mice licking the film; the pool is an afterthought.
1302,Orrindal,none,vane_leaking,none,A leaking array made a hanging marsh; blade-reeds stand thigh-deep in it.
1303,Tessavorn,none,shields_overhangs,Deepwater Compact,"Walled windbreaks and a Compact ledger-house; draw is counted, never refused."
1652,Kharrow Spire,none,natural_weep,Deep Desert Tribes,Bone-and-vane chimes hang on the cold face; no one has ever camped here.
1653,Ulm Sedrath,none,vane_true_running,none,"Fins the height of towers, still turning to the wind; the pool below is deep and blue-shaded."
1660,Vorsalla,none,full_enclosure,Deepwater Compact,The Compact's sealed grotto; servo-vents breathe at wind-hour and the ledger is law.
1665,Ilvanne,none,natural_weep,none,Two weep-lines meet in a cleft and pool in a bowl the burrak keep dug.
1667,Ghesh Ammar,none,vane_leaking,none,Cracked cistern walls bleed sideways; the marsh below hums with dew-smoke swarms.
1985,Ennoril,none,shields_overhangs,Homestead Defense League,"Flat ground, a lidded pool, and homestead vaporators in a ring a mile out."
2920,Tal Quarrow,none,natural_weep,none,Low stone near the terminator; the weep here is the coldest and the slowest.
2921,Vessik,none,vane_true_running,none,"An array of only five fins, every one still sound; a small sure pool."
2922,Marrukomb,none,natural_weep,none,The seep lines run in parallel like teeth; from the ridge the face reads as a comb.
3153,Ossik Ring,none,vane_dead,none,A silent machine in a ring of bleached bone; the sand has taken the shaft.
3178,Zhurr,none,natural_weep,Jawa,"A single black streak on a single standing stone, marked on every crawler chart."
3272,Ashvaneth,none,vane_fog_wild,none,Fins run wild; whole afternoons vanish into ground-cloud and the pools overflow.
3273,Orrekh,none,natural_weep,Deep Desert Tribes,Silent watering ground; a cairn of vane-chimes marks that the Tribes have passed.
3274,Selvarrin,none,full_enclosure,Deepwater Compact,A sealed dome at the base of the rock; the warden's vents open only to the wet wind.
3275,Quenth,none,shields_overhangs,none,Stone lids of unknown make over a pool nobody claims; everyone maintains them.
3276,Ithravane,none,vane_true_running,none,Runs cold and true; the chord of its fins is the clearest on the Horn.
3277,Nakkar Crest,none,natural_weep,none,Crest-line weep; the pool sits in a stone bowl at the top of the world.
3469,Hurrimal,none,vane_leaking,none,A leaking array on low ground; the marsh spreads wider each year than the pool.
3605,Cindravel,none,natural_weep,none,Black streaks on the whitest stone in the Belt; the signature mark at its plainest.
4354,Ulvakarr,none,vane_true_running,none,High array that never falters; pilgrims from three biomes drink here in rotation.
4372,Dhessa Comb,none,shields_overhangs,Jawa,"Awnings of dewsilk over the catch; the rare crawler that stays, stays here."
4373,Ferrovane,none,vane_leaking,none,Verdigris fins leak into a hanging garden that drips onto the pool below.
4527,Immeloth,none,natural_weep,none,Low hills catch a thin wind; the pool is shallow and warm and always crowded.
4722,Skarrun,none,vane_dead,Ascendant Helix,Helix tents ring a dead machine on a hot mesa; they buy their water by the tanker.
6215,Yeth Ammu,none,natural_weep,none,A seep in the lee of one boulder; the ring of green is ten paces across.
6219,Kessarel,none,shields_overhangs,Jawa,Caravan lids and a camp ring; the bead-chain road turns here toward the Belt.
6223,Rhon Tavar,none,natural_weep,none,A shaded cleft in red stone; the burrak dig has outlived the burrak.
